crop,state,season,year,area,production,yield,area_mha,production_mt,data_quality_flag,crop_category
Maize,Chandigarh,Kharif,2020-21,8.0,24.0,3000.0,8e-06,2.4e-05,GOOD,food_grains
Maize,Chandigarh,Rabi,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Maize,Chhattisgarh,Kharif,2020-21,113890.0,341214.44,2996.0,0.11389,0.34121444,GOOD,food_grains
Maize,Dadra And Nagar Haveli,Kharif,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Maize,Dadra And Nagar Haveli,Rabi,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Maize,Delhi,Kharif,2020-21,22.0,112.0,5091.0,2.2e-05,0.000112,GOOD,food_grains
Maize,Gujarat,Kharif,2020-21,286710.0,436085.91,1521.0,0.28671,0.43608590999999997,GOOD,food_grains
Maize,Gujarat,Rabi,2020-21,102220.0,231528.3,2265.0,0.10222,0.2315283,GOOD,food_grains
Maize,Haryana,Kharif,2020-21,6630.0,20062.38,3026.0,0.00663,0.02006238,GOOD,food_grains
Maize,Himachal Pradesh,Kharif,2020-21,267407.0,729218.89,2727.0,0.267407,0.7292188900000001,GOOD,food_grains
Maize,Jammu And Kashmir,Kharif,2020-21,289179.0,508665.86,1759.0,0.289179,0.50866586,GOOD,food_grains
Maize,Jharkhand,Kharif,2020-21,285819.0,623371.24,2181.0,0.285819,0.62337124,GOOD,food_grains
Maize,Jharkhand,Rabi,2020-21,12330.0,28420.65,2305.0,0.01233,0.028420650000000002,GOOD,food_grains
Maize,Karnataka,Kharif,2020-21,1532000.0,4674132.0,3051.0,1.532,4.674132,GOOD,food_grains
Maize,Karnataka,Rabi,2020-21,194000.0,688000.0,3546.0,0.194,0.688,GOOD,food_grains
Maize,Kerala,Kharif,2020-21,26.0,37.0,1423.0,2.6e-05,3.7e-05,GOOD,food_grains
Maize,Kerala,Rabi,2020-21,82.0,78.97,963.0,8.2e-05,7.897e-05,GOOD,food_grains
Maize,Madhya Pradesh,Kharif,2020-21,1383000.0,3793569.0,2743.0,1.383,3.793569,GOOD,food_grains
Maize,Madhya Pradesh,Rabi,2020-21,22000.0,87978.0,3999.0,0.022,0.087978,GOOD,food_grains
Maize,Maharashtra,Kharif,2020-21,789000.0,2557149.0,3241.0,0.789,2.557149,GOOD,food_grains
Maize,Maharashtra,Rabi,2020-21,393240.0,963044.76,2449.0,0.39324,0.96304476,GOOD,food_grains
Maize,Manipur,Kharif,2020-21,18510.0,43720.62,2362.0,0.01851,0.04372062,GOOD,food_grains
Maize,Manipur,Rabi,2020-21,7020.0,16012.62,2281.0,0.00702,0.01601262,GOOD,food_grains
Maize,Meghalaya,Kharif,2020-21,18185.0,41825.5,2300.0,0.018185,0.0418255,GOOD,food_grains
Maize,Mizoram,Kharif,2020-21,6428.0,11724.67,1824.0,0.006428,0.01172467,GOOD,food_grains
Maize,Mizoram,Rabi,2020-21,518.0,829.84,1602.0,0.000518,0.00082984,GOOD,food_grains
Maize,Nagaland,Kharif,2020-21,63770.0,126774.76,1988.0,0.06377,0.12677476,GOOD,food_grains
Maize,Nagaland,Rabi,2020-21,5420.0,10758.7,1985.0,0.00542,0.010758700000000001,GOOD,food_grains
Maize,Odisha,Kharif,2020-21,75310.0,219829.89,2919.0,0.07531,0.21982989000000003,GOOD,food_grains
Maize,Odisha,Rabi,2020-21,2610.0,6822.54,2614.0,0.00261,0.00682254,GOOD,food_grains
Maize,Punjab,Kharif,2020-21,107800.0,395087.0,3665.0,0.1078,0.395087,GOOD,food_grains
Maize,Rajasthan,Kharif,2020-21,976194.0,2186674.56,2240.0,0.976194,2.18667456,GOOD,food_grains
Maize,Rajasthan,Rabi,2020-21,16906.0,82856.31,4901.0,0.016906,0.08285631,GOOD,food_grains
Maize,Sikkim,Kharif,2020-21,38390.0,67950.3,1770.0,0.03839,0.0679503,GOOD,food_grains
